date,cash,portfolio_value,n_positions,n_trades
2024-10-15,814.3261161395139,224884.83510813952,5,0
2024-10-16,11092.533862625918,229119.91321062593,5,4
2024-10-17,1592.2211852252149,233067.87463522522,4,3
2024-10-18,2369.901218441215,238656.79300844122,3,1
2024-10-21,6628.125732646215,244037.89863064623,4,3
2024-10-22,5830.201108097412,247456.97153809742,5,3
2024-10-23,1520.9564004344174,252086.25940843442,5,2
2024-10-24,1520.9564004344174,251990.3312724344,5,0
2024-10-25,224557.47142579482,253684.47142579482,1,4
2024-10-28,14968.77445270175,260745.1026277017,3,2
2024-10-29,3668.6534910088703,254249.31122500886,4,3
2024-10-30,3668.6534910088703,256027.9002440089,4,0
2024-10-31,3668.6534910088703,255271.15043600884,4,0
2024-11-01,10807.130965755598,253511.2641287556,4,4
2024-11-04,2715.8402275484223,255706.73556854844,4,4
2024-11-05,2715.8402275484223,259723.35493954842,4,0
2024-11-06,164.84022754842226,262147.36055254843,5,1
2024-11-07,257696.24135861464,260272.24135861464,1,4
2024-11-08,13221.490810998032,255975.864418998,3,2
2024-11-11,13221.490810998032,263539.5886349981,3,0
2024-11-12,4151.88977099803,276946.2160939981,4,3
2024-11-13,135884.78092099805,274350.28844499803,3,1
2024-11-14,261842.300053262,273697.333672262,2,1
2024-11-15,273585.4918026205,273585.4918026205,0,2
2024-11-18,273585.4918026205,273585.4918026205,0,0
2024-11-19,14513.037915679553,284838.0073556796,2,2
2024-11-20,981.8878656795532,291252.65206567955,3,1
2024-11-21,141424.54090253275,290138.54090253275,2,1
2024-11-22,276193.6548225328,289519.6548225328,1,1
2024-11-25,289511.8591125328,289511.8591125328,0,1
2024-11-26,14488.48411253281,291988.4841125328,1,1
2024-11-27,14488.48411253281,302988.4841125328,1,0
2024-11-28,1010.4094725328105,296111.23300053284,3,2
2024-11-29,281471.2438475328,295006.3696395328,2,1
2024-12-02,14356.541027532774,296559.04668353277,4,2
2024-12-03,1239.2226302335748,295308.48167023354,5,1
2024-12-04,15326.174798149576,288567.7893901496,3,2
2024-12-05,275014.16839814954,287891.17063814955,1,2
2024-12-06,13971.746323144383,290111.7045201444,3,2
2024-12-09,1720.9526131341427,290535.5888051341,4,3
2024-12-10,27413.91343313414,291242.07599713415,2,2
2024-12-11,27413.91343313414,295617.36517313414,2,0
2024-12-12,15421.023300469125,312069.02330046915,2,4
2024-12-13,9462.137399927888,311930.5621499279,3,3
2024-12-16,9462.137399927888,307907.8008059279,3,0
2024-12-17,85632.35949738829,299052.3594973883,2,1
2024-12-18,297554.3125873883,297554.3125873883,0,2
2024-12-19,15020.299237388303,301400.2992373883,1,1
2024-12-20,15020.299237388303,304109.2992373883,1,0
2024-12-23,15020.299237388303,287081.2992373883,1,0
2024-12-24,15020.299237388303,283985.2992373883,1,0
2024-12-25,281120.5394773883,281120.5394773883,0,1
2024-12-26,281120.5394773883,281120.5394773883,0,0
2024-12-27,281120.5394773883,281120.5394773883,0,0
2024-12-30,18549.37198506693,293548.7200770669,2,2
2024-12-31,158850.82079474494,304870.82079474494,1,1
2025-01-02,302630.66035474493,302630.66035474493,0,1
2025-01-03,302630.66035474493,302630.66035474493,0,0
2025-01-06,15326.24155474495,290846.24155474495,1,1
2025-01-07,1290.241554744949,292771.24155474495,3,2
2025-01-08,1290.241554744949,301988.24155474495,3,0
2025-01-09,1805.9785547449483,305469.978554745,3,2
2025-01-10,14777.931579744967,274822.93157974497,3,2
2025-01-13,12610.994364745013,253696.994364745,2,3
2025-01-14,2251.178364745014,265728.178364745,3,3
2025-01-15,181.1496447450138,261949.140060745,5,2
2025-01-16,181.1496447450138,266679.13595674507,5,0
2025-01-17,13665.704440982081,267413.3822369821,5,4
2025-01-20,1347.7293809820803,266942.5374799821,5,2
2025-01-21,387.62897493408036,263612.92956593406,5,4
2025-01-22,19816.25657493408,258425.55446193408,4,1
2025-01-23,13171.946376983804,259299.9463769838,2,4
2025-01-24,14910.076376983803,255550.0763769838,1,1
2025-01-27,14910.076376983803,279990.0763769838,1,0
2025-02-05,14910.076376983803,306310.0763769838,1,0
2025-02-06,314594.65827698377,314594.65827698377,0,1
2025-02-07,314594.65827698377,314594.65827698377,0,0
2025-02-10,314594.65827698377,314594.65827698377,0,0
2025-02-11,314594.65827698377,314594.65827698377,0,0
2025-02-12,314594.65827698377,314594.65827698377,0,0
2025-02-13,314594.65827698377,314594.65827698377,0,0
2025-02-14,314594.65827698377,314594.65827698377,0,0
2025-02-17,314594.65827698377,314594.65827698377,0,0
2025-02-18,314594.65827698377,314594.65827698377,0,0
2025-02-19,314594.65827698377,314594.65827698377,0,0
2025-02-20,314594.65827698377,314594.65827698377,0,0
2025-02-21,314594.65827698377,314594.65827698377,0,0
2025-02-24,314594.65827698377,314594.65827698377,0,0
2025-02-25,314594.65827698377,314594.65827698377,0,0
2025-02-26,314594.65827698377,314594.65827698377,0,0
2025-02-27,314594.65827698377,314594.65827698377,0,0
2025-02-28,314594.65827698377,314594.65827698377,0,0
2025-03-03,314594.65827698377,314594.65827698377,0,0
2025-03-04,314594.65827698377,314594.65827698377,0,0
2025-03-05,314594.65827698377,314594.65827698377,0,0
2025-03-06,314594.65827698377,314594.65827698377,0,0
2025-03-07,314594.65827698377,314594.65827698377,0,0
2025-03-10,314594.65827698377,314594.65827698377,0,0
2025-03-11,314594.65827698377,314594.65827698377,0,0
2025-03-12,314594.65827698377,314594.65827698377,0,0
2025-03-13,314594.65827698377,314594.65827698377,0,0
2025-03-14,314594.65827698377,314594.65827698377,0,0
2025-03-17,314594.65827698377,314594.65827698377,0,0
2025-03-18,314594.65827698377,314594.65827698377,0,0
2025-03-19,314594.65827698377,314594.65827698377,0,0
2025-03-20,314594.65827698377,314594.65827698377,0,0
2025-03-21,314594.65827698377,314594.65827698377,0,0
2025-03-24,314594.65827698377,314594.65827698377,0,0
2025-03-25,314594.65827698377,314594.65827698377,0,0
2025-03-26,314594.65827698377,314594.65827698377,0,0
2025-03-27,314594.65827698377,314594.65827698377,0,0
2025-03-28,314594.65827698377,314594.65827698377,0,0
2025-03-31,314594.65827698377,314594.65827698377,0,0
2025-04-01,314594.65827698377,314594.65827698377,0,0
2025-04-02,314594.65827698377,314594.65827698377,0,0
2025-04-03,314594.65827698377,314594.65827698377,0,0
2025-04-07,314594.65827698377,314594.65827698377,0,0
2025-04-08,314594.65827698377,314594.65827698377,0,0
2025-04-09,16198.11412646278,341944.02860646276,2,2
2025-04-10,192910.204522887,364851.204522887,1,1
2025-04-11,381988.52895788697,381988.52895788697,0,1
2025-04-14,381988.52895788697,381988.52895788697,0,0
2025-04-15,381988.52895788697,381988.52895788697,0,0
2025-04-16,381988.52895788697,381988.52895788697,0,0
2025-04-17,381988.52895788697,381988.52895788697,0,0
2025-04-18,381988.52895788697,381988.52895788697,0,0
2025-04-21,381988.52895788697,381988.52895788697,0,0
2025-04-22,381988.52895788697,381988.52895788697,0,0
2025-04-23,381988.52895788697,381988.52895788697,0,0
2025-04-24,381988.52895788697,381988.52895788697,0,0
2025-04-25,381988.52895788697,381988.52895788697,0,0
2025-04-28,381988.52895788697,381988.52895788697,0,0
2025-04-29,381988.52895788697,381988.52895788697,0,0
2025-04-30,381988.52895788697,381988.52895788697,0,0
2025-05-06,381988.52895788697,381988.52895788697,0,0
2025-05-07,381988.52895788697,381988.52895788697,0,0
2025-05-08,381988.52895788697,381988.52895788697,0,0
2025-05-09,381988.52895788697,381988.52895788697,0,0
2025-05-12,19386.710422887,392820.710422887,2,2
2025-05-13,13077.056745120572,389104.23222912056,3,3
2025-05-14,181278.60124512058,388867.4142811206,2,1
2025-05-15,9331.310631632005,381993.97937963204,4,2
2025-05-16,5730.545582748709,378315.13458874874,5,3
2025-05-19,7972.306294254493,391160.7608392545,5,2
