date,代码,名称,action,price,shares,amount,cost,profit,profit_pct,reason,hold_days
2023-04-06,sh.605376,博迁新材,BUY,37.4623312,1200,44954.79744,3.8211577824000003,0.0,,SIGNAL,0
2023-04-06,sh.603090,宏盛股份,BUY,21.3160848,2300,49026.995039999994,4.1672945784,0.0,,SIGNAL,0
2023-04-11,sz.002785,万里石,BUY,20.23,100,2023.0,1.0,0.0,,SIGNAL,0
2023-04-11,sh.603030,全筑股份,BUY,1.68544532,2100,3539.435172,1.0,0.0,,SIGNAL,0
2023-04-12,sh.605376,博迁新材,SELL,38.94923816,1200,46739.085792,27.34236518832,1753.1248290292788,0.0389941880713335,HOLD_EXPIRE,4
2023-04-12,sh.603090,宏盛股份,SELL,20.3078916,2300,46708.150680000006,27.324268147800005,-2350.33592272619,-0.04793555385630039,HOLD_EXPIRE,4
2023-04-13,sz.002514,宝馨科技,BUY,9.73,4500,43785.0,3.721725,0.0,,SIGNAL,0
2023-04-13,sz.002719,麦趣尔,BUY,10.06,4500,45270.0,3.8479500000000004,0.0,,SIGNAL,0
2023-04-14,sh.603030,全筑股份,SELL,2.10466776,2100,4419.802296,3.209901148,876.1572228519994,0.24747161868156908,TAKE_PROFIT,3
2023-04-14,sz.002866,传艺科技,BUY,29.38724205,100,2938.724205,1.0,0.0,,SIGNAL,0
2023-04-14,sh.605333,沪光股份,BUY,16.6320168,300,4989.6050399999995,1.0,0.0,,SIGNAL,0
2023-04-17,sz.002785,万里石,SELL,20.94,100,2094.0,2.0469999999999997,67.95299999999997,0.0335736166007905,HOLD_EXPIRE,4
2023-04-18,sh.603110,东方材料,BUY,27.46629055,100,2746.629055,1.0,0.0,,SIGNAL,0
2023-04-19,sz.002514,宝馨科技,SELL,9.53,4500,42885.0,25.087725,-928.8094500000007,-0.021211156969437674,HOLD_EXPIRE,4
2023-04-19,sz.002719,麦趣尔,SELL,10.82,4500,48690.0,28.483649999999997,3387.668399999995,0.07482616462690123,HOLD_EXPIRE,4
2023-04-20,sz.002866,传艺科技,SELL,28.61888292,100,2861.888292,2.430944146,-80.2668571459999,-0.027304213439301152,HOLD_EXPIRE,4
